date,url,label,tags,temperature,cluster
2018-05-02,//image.musinsa.com/mfile_s01/_street_images/42740/280.street_img_view25ab8ac3431d81.jpg?20180326172632,4,"['와이드팬츠', '하의', '검정색', '심플', '캐주얼']",15.1,4
2018-05-03,//image.musinsa.com/mfile_s01/_street_images/43946/280.street_img_view25aeaf31f4427a.jpg?,4,"['슬랙스', '블랙', '하의', '검정색', '심플', '캐주얼']",11.2,8
2018-05-07,//image.musinsa.com/mfile_s01/_street_images/47127/280.street_img_view25bac98287f6d9.jpg?,0,"['팬츠', '그레이', '하의', '회색', '스트리트', '힙합']",19.2,7
2018-05-07,//image.musinsa.com/mfile_s01/_street_images/44701/280.street_img_view25b0cdf6ea6e80.jpg?20180529105142,1,"['팬츠', '베이지', '하의', '베이지색', '심플', '캐주얼']",19.2,7
2018-05-08,//image.musinsa.com/mfile_s01/_street_images/45754/280.street_img_view15b5ec266eb781.jpg?,4,"['데님쇼츠', '하의', '데님', '심플', '캐주얼']",17.5,7
2018-05-10,//image.musinsa.com/mfile_s01/_street_images/39978/280.street_img_view25a4c46bf9d514.jpg?,0,"['트랙팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",15.4,4
2018-05-11,//image.musinsa.com/mfile_s01/_street_images/44149/280.street_img_view25afc0640ca0a0.jpg?,0,"['데님', '쇼츠', '하의', '데님', '섹시', '페미닌']",16.1,4
2018-05-14,//image.musinsa.com/mfile_s01/_street_images/48539/280.street_img_view25bf4f94f2d79c.jpg?20181114225340,4,"['팬츠', ' 베이지', '하의', '베이지색', '심플', '캐주얼']",18.2,7
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/42795/280.street_img_view25abcbfed0f027.jpg?,4,"['스커트', '블루', '하의', '파랑색', '심플', '캐주얼']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44343/280.street_img_view15b024f5e20979.jpg?,0,"['데님스커트', '블루', '하의', '데님']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/43373/280.street_img_view15ad0764c05e48.jpg?20180418175433,0,"['반바지', '어텐션로우', '하의', '데님', '섹시', '페미닌']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view25a699f4e69952.jpg?,4,"['스커트', '체크', '하의', '체크']",23.2,1
2018-05-16,//image.musinsa.com/mfile_s01/_street_images/44631/280.street_img_view25b288ba681db3.jpg?20180619154713,0,"['데님', '쇼츠', '하의', '데님', '섹시', '페미닌']",22.3,1
2018-05-16,//image.musinsa.com/mfile_s01/_street_images/46699/280.street_img_view25b98dfcfcc5eb.jpg?,4,"['오버롤', '팬츠', '하의', '베이지색', '심플', '캐주얼']",22.3,1
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/48061/280.street_img_view15bcedeb597203.jpg?20181023183432,4,"['원피스', '레오파드', '심플', '하의']",16.3,4
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/44673/280.street_img_view15b0ce108efa58.jpg?,0,"['쇼츠', '그린', '하의', '녹색', '스트리트', '힙합']",16.3,4
2018-05-21,//image.musinsa.com/mfile_s01/_street_images/44368/280.street_img_view25b0233829c804.jpg?,4,"['데님팬츠', '블루', '하의', '데님', '심플', '캐주얼']",17.8,7
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/45456/280.street_img_view15b46ae4103fb9.jpg?20180712143234,0,"['데님팬츠', 'denim', 'pants', '하의']",18.1,7
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/44437/280.street_img_view15b04eeb0238dc.jpg?,0,"['하이웨스트', '블랙', '하의', '검정색', '섹시', '페미닌']",18.1,7
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/42629/280.street_img_view15abb69af6ba60.jpg?20180328205258,0,"['와이드팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",18.1,7
2018-05-23,//image.musinsa.com/mfile_s01/_street_images/45446/280.street_img_view15b45c74cca6ad.jpg?,3,"['반바지', '화이트', '하의', '흰색', '유니크', '키치']",17.3,7
2018-05-23,//image.musinsa.com/mfile_s01/_street_images/44457/280.street_img_view25b04ed2a1e10d.jpg?,0,"['조거팬츠', '블랙', '하의', '검정색', '섹시', '페미닌']",17.3,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/48092/280.street_img_view25bcd716d4a1d0.jpg?20181022160704,4,"['데님팬츠', '블루', '하의', '데님', '심플', '캐주얼']",19.7,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/47124/280.street_img_view25bac98e1f0690.jpg?,0,"['조거팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",19.7,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/47166/280.street_img_view25bb3622b5eee0.jpg?,4,"['팬츠', '블랙', '하의', '검정색', '심플', '캐주얼']",19.7,7
2018-05-25,//image.musinsa.com/mfile_s01/_street_images/45704/280.street_img_view25b584b77d2942.jpg?,4,"['데님쇼츠', '하의', '데님', '심플', '캐주얼']",19.7,7
2018-05-26,//image.musinsa.com/mfile_s01/_street_images/49037/280.street_img_view25c0f1c62b1b8d.jpg?20181211103337,4,"['스커트', '베이지', '체크', '하의', '유니크', '키치']",21.8,1
2018-05-26,//image.musinsa.com/mfile_s01/_street_images/44745/280.street_img_view25b30965c8909c.jpg?20180625171924,4,"['데님팬츠', 'denim', 'pants', '하의', '심플', '캐주얼']",21.8,1
2018-05-27,//image.musinsa.com/mfile_s01/_street_images/44581/280.street_img_view15b10b22d6f81e.jpg?20180601140331,4,"['팬츠', '와이케이', '하의', '체크']",20.3,7
2018-05-27,//image.musinsa.com/mfile_s01/_street_images/45449/280.street_img_view25b45c6efcbcdb.jpg?,4,"['와이드팬츠', '그레이', '하의', '회색', '심플', '캐주얼']",20.3,7
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/46295/280.street_img_view25b83a73b35ee6.jpg?20180827175316,0,"['조거팬츠', '하의', '검정색', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44102/280.street_img_view25afc0997437ed.jpg?,0,"['와이드팬츠', '하의', '검정색', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44651/280.street_img_view25b0ce299d382f.jpg?,0,"['디스트로이드', '데님', '하의', '데님', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44621/280.street_img_view25b223f3578a99.jpg?20180614201651,0,"['레깅스', '하의', '파랑색', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44809/280.street_img_view15b16639dc230d.jpg?,4,"['미니스커트', '체크', '하의', '체크', '섹시', '페미닌']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44939/280.street_img_view25b1e381807f14.jpg?20180612105327,0,"['롱스커트', '플라워', '하의', '기타패턴']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/49373/280.street_img_view15c2496c1c932d.jpg?,0,"['롱스커트', '베이지', '하의', '베이지색', '스트리트', '힙합']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/43544/280.street_img_view25ad82f3a1e62b.jpg?,4,"['스커트', '체크', '하의', '분홍색']",22.3,1
2018-05-28,//image.musinsa.com/mfile_s01/_street_images/44520/280.street_img_view25b0fa03306fe1.jpg?20180528115732,0,"['멜란지마스터', '하의', '빨간색', '스트리트', '힙합']",22.3,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44672/280.street_img_view15b0ce12b861bc.jpg?,0,"['트랙팬츠', '블루', '하의', '파랑색', '스트리트', '힙합']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/48259/280.street_img_view25bf3b3e62f77d.jpg?20181030114117,1,"['팬츠', '브라운', '하의', '갈색', '심플', '캐주얼']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/40023/280.street_img_view25a5700d2cf876.jpg?,4,"['스커트', '체크', '하의', '체크', '심플', '캐주얼']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/44687/280.street_img_view15b0cdf95680e1.jpg?,4,"['데님팬츠', '하의', '파랑색', '데님', '심플', '캐주얼']",21.4,1
2018-05-29,//image.musinsa.com/mfile_s01/_street_images/46116/280.street_img_view25b6bef655db56.jpg?,4,"['밴딩팬츠', '하의', '흰색', '심플', '캐주얼']",21.4,1
