"date","url","x1","x2","label","tags","지점","평균기온..C.","최저기온..C.","최고기온..C."
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/40386/280.street_img_view15a6821220a151.jpg?",0.015209933,0.002032846,4,"['퍼자켓', '아우터', '노란색', '스트리트', '힙합']",108,4.5,2.4,8.7
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/48170/280.street_img_view25bebe728cb7c4.jpg?20181115135805",-0.012108446,-0.025161504,1,"['치노팬츠', '하의', '베이지색', '심플', '캐주얼']",108,4.5,2.4,8.7
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/45765/280.street_img_view15b5838e1483e9.jpg?",-0.01442312,0.059334938,3,"['티셔츠', '화이트', '상의', '흰색']",108,4.5,2.4,8.7
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/42853/280.street_img_view15abde6659a2cc.jpg?20180330182912",-0.018248697,0.00071517,2,"['ZIP UP', '마크곤잘레스', '상의', '회색', '심플', '캐주얼']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/46563/280.street_img_view25b88aa6fd586b.jpg?20180831115510",0.037749826,0.000377039,0,"['벨루어 플리스 팬츠', '뉴에라', '하의', '빨간색', '스트리트', '힙합']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/45639/280.street_img_view25b501d3c87a7d.jpg?20180719174242",0.039861005,-0.025909274,0,"['데님팬츠', 'DENIM', 'PANTS', '하의']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view15a699d71a71be.jpg?",0.006477765,-0.000145073,4,"['항공점퍼', '카키', '아우터', '녹색', '스트리트', '힙합']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view15a699f4201aaa.jpg?",-7.93e-05,-0.003715405,4,"['코트', '레드', '아우터', '빨간색']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/45542/280.street_img_view15b4d74238ef07.jpg?",-0.027588894,0.031948178,2,"['티셔츠', '화이트', '상의', '흰색', '심플', '캐주얼']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/49137/280.street_img_view25c19ac9737d55.jpg?20181219113125",0.013751253,-0.028234612,4,"['데님팬츠', '하의', '데님', '분홍색', '심플', '캐주얼']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/45083/280.street_img_view15b32fd20d4f2e.jpg?",-0.027069719,0.019921326,2,"['스트라이프', '셔츠', '상의', '스프라이트', '심플', '캐주얼']",108,2.1,0.3,4.5
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40439/280.street_img_view15a69941d0a076.jpg?",0.004481047,-0.00614841,4,"['코트', '블랙', '아우터', '검정색', '스트리트', '힙합']",108,2.1,0.3,4.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/43521/280.street_img_view15ad8329bd8425.jpg?",-0.028596359,-0.013215676,1,"['재킷', '패턴', '아우터', '분홍색', '심플', '캐주얼']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/47382/280.street_img_view15bbf1e5590710.jpg?20181011092946",0.015615908,-0.003699836,4,"['원피스', '핑크', '하의', '분홍색']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40473/280.street_img_view15a61c755cd4e0.jpg?20180119192428",-0.021285403,-0.019528503,1,"['코트', '디자이너 인비테이션', '그레이', '아우터']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/39744/280.street_img_view25a53367e011f1.jpg?20171226092514",0.048828259,-0.018768307,0,"['데님팬츠', '블랙', '하의', '데님', '스트리트', '힙합']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/47011/280.street_img_view15ba4c5e834ee8.jpg?20180921195440",0.017683416,0.027877912,3,"['티셔츠', 'OUTDOOR PRODUCTS', '상의', '보라색', '스트리트', '힙합']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/44186/280.street_img_view15af939144f89c.jpg?20180514162210",-0.023311616,0.005744824,2,"['셔츠', '블랙', '상의', '검정색', '심플', '캐주얼']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40474/280.street_img_view15a61990b8d1e5.jpg?20180119191903",-0.032244425,-0.019078164,1,"['코트', '디자이너 인비테이션', '아우터', '검정색', '심플', '캐주얼']",108,1,-2.5,5.5
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/44950/280.street_img_view15b1e16b2d1aae.jpg?20180611180723",0.002251922,0.013002379,3,"['원피스', '블랙', '상의', '검정색', '유니크', '키치']",108,1,-2.5,5.5
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40512/280.street_img_view15a6adb528a174.jpg?20180126172923",0.009524401,-0.001423685,4,"['라이더자켓', '아우터', '검정색', '스트리트', '힙합']",108,0.4,-3.7,5.5
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/46935/280.street_img_view15bbdb2cd257e4.jpg?20180918093938",-0.009901998,0.04512468,3,"['카디건', '상의', '흰색']",108,0.4,-3.7,5.5
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40519/280.street_img_view15a6ad94429632.jpg?20180126175801",-0.031958467,-0.017661167,1,"['무스탕', '아우터', '검정색', '심플', '캐주얼']",108,0.4,-3.7,5.5
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40123/280.street_img_view15a5d60d394c71.jpg?",-0.029766673,-0.018685824,1,"['코트', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,0.4,-3.7,5.5
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/49246/280.street_img_view15c1c8d655fbbe.jpg?20181221160928",-0.026014884,-0.014245523,1,"['CHESTERFIELD COAT', '비바스튜디오', '아우터', '검정색', '심플', '캐주얼']",108,0.4,-3.7,5.5
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/45649/280.street_img_view25b55411128c2d.jpg?",-0.001413013,-0.014090902,4,"['쇼츠', '하의', '검정색', '스프라이트', '심플', '캐주얼']",108,0.2,-5.3,4
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40533/280.street_img_view15a6aceb2d6429.jpg?",-0.01789285,-0.01536904,1,"['싱글코트', '아우터', '검정색']",108,0.2,-5.3,4
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40530/280.street_img_view15a6ad63567967.jpg?",-0.032303889,-0.018351561,1,"['싱글코트', '아우터', '검정색', '심플', '캐주얼']",108,0.2,-5.3,4
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40547/280.street_img_view15a6ac9a35eb70.jpg?20180130143944",0.018616852,0.003610323,4,"['트랙자켓', '아우터', '빨간색', '스트리트', '힙합']",108,0.2,-5.3,4
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/44848/280.street_img_view15b19ccc5025f9.jpg?20180607074411",-0.021694541,0.009951052,2,"['티셔츠', '블랙', '상의', '검정색', '심플', '캐주얼']",108,0.2,-5.3,4
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40531/280.street_img_view25a6ad5e4de188.jpg?20180126183143",-0.02722674,-0.013412617,1,"['후드집업', '아우터', '노란색', '심플', '캐주얼']",108,0.2,-5.3,4
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/45622/280.street_img_view25b5025c93056b.jpg?20180719171550",0.023451827,-0.011561486,0,"['워크', '팬츠', '하의', '녹색', '섹시', '페미닌']",108,0.2,-5.3,4
"2018-01-23","//image.musinsa.com/mfile_s01/_street_images/46719/280.street_img_view15b98d572bb209.jpg?20180910113721",-0.022025085,0.01359412,2,"['롱슬리브', '티셔츠', '상의', '녹색', '심플', '캐주얼']",108,-11.7,-14.6,-5.3
"2018-01-26","//image.musinsa.com/mfile_s01/_street_images/44737/280.street_img_view15b3097b969d4c.jpg?20180625165150",-0.00294081,0.026296214,3,"['화이트', '셔츠', 'shirt', '상의', '유니크', '키치']",108,-14.8,-17.8,-10.7
"2018-01-29","//image.musinsa.com/mfile_s01/_street_images/40733/280.street_img_view15a72d71aebe2a.jpg?",-4.68e-05,-0.009560655,4,"['라이더', '자켓', '아우터', '검정색', '섹시', '페미닌']",108,-8.5,-11.6,-4.7
"2018-01-31","//image.musinsa.com/mfile_s01/_street_images/40768/280.street_img_view15a742ca076323.jpg?20180208084905",-0.032787249,-0.021162588,1,"['코트', '롱', '아우터', '베이지색', '심플', '캐주얼']",108,-2.6,-5.2,0
"2018-01-31","//image.musinsa.com/mfile_s01/_street_images/40768/280.street_img_view25a742cadc7489.jpg?20180208084905",-0.014704766,-0.027157302,1,"['데님재킷', '아우터', '데님', '심플', '캐주얼']",108,-2.6,-5.2,0
"2018-01-31","//image.musinsa.com/mfile_s01/_street_images/39732/280.street_img_view25a5339e859f01.jpg?",0.027938162,-0.016824035,0,"['팬츠', '체크', '하의', '체크', '스트리트', '힙합']",108,-2.6,-5.2,0
"2018-01-31","//image.musinsa.com/mfile_s01/_street_images/44182/280.street_img_view15afaacc5903fc.jpg?",-0.02601815,0.026615802,2,"['후디', '화이트', '상의', '흰색', '심플', '캐주얼']",108,-2.6,-5.2,0
"2018-02-01","//image.musinsa.com/mfile_s01/_street_images/49243/280.street_img_view15c232d940558d.jpg?20181226181206",-0.036409232,-0.023173051,1,"['더블코트', '아우터', '갈색', '심플', '캐주얼']",108,-4,-8.8,1.2
"2018-02-01","//image.musinsa.com/mfile_s01/_street_images/43894/280.street_img_view15ae9594f38708.jpg?20180502155537",-0.022555488,0.015369705,2,"['T shirt', '커버낫', '상의', '흰색', '심플', '캐주얼']",108,-4,-8.8,1.2
"2018-02-01","//image.musinsa.com/mfile_s01/_street_images/45130/280.street_img_view15b27530856f4c.jpg?20180618153733",0.009275825,0.041222202,3,"['크롭탑', '화이트', '상의', '흰색', '스트리트', '힙합']",108,-4,-8.8,1.2
"2018-02-01","//image.musinsa.com/mfile_s01/_street_images/40414/280.street_img_view15a682f1727888.jpg?",-0.026949674,-0.02486082,1,"['코트', '베이지', '아우터', '베이지색']",108,-4,-8.8,1.2
"2018-02-01","//image.musinsa.com/mfile_s01/_street_images/40465/280.street_img_view15a61aabb040c9.jpg?20180122091857",-0.014515382,-0.018891911,1,"['코트', '디자이너 인비테이션', '아우터', '파랑색']",108,-4,-8.8,1.2
"2018-02-02","//image.musinsa.com/mfile_s01/_street_images/48425/280.street_img_view15bf3b14a7ab73.jpg?20181107113140",-0.029766673,-0.018685824,1,"['코트', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-2.4,-7.6,3.8
"2018-02-02","//image.musinsa.com/mfile_s01/_street_images/40523/280.street_img_view15a6ad84b85fdd.jpg?20180121234643",-0.032200928,-0.026753929,1,"['체크', '코트', '아우터', '체크', '심플', '캐주얼']",108,-2.4,-7.6,3.8
"2018-02-03","//image.musinsa.com/mfile_s01/_street_images/40842/280.street_img_view15a7ace115bf84.jpg?20180214182616",-0.009155268,-0.012429439,4,"['점퍼', '베이지', '아우터', '베이지색', '유니크', '키치']",108,-7.3,-10.4,-2.1
"2018-02-03","//image.musinsa.com/mfile_s01/_street_images/45562/280.street_img_view25b502ff71e7bf.jpg?",0.013518276,0.024912378,3,"['참스', '티셔츠', '상의', '검정색', '스트리트', '힙합']",108,-7.3,-10.4,-2.1
"2018-02-04","//image.musinsa.com/mfile_s01/_street_images/40813/280.street_img_view15a79283130131.jpg?",-0.012552256,-0.01917124,1,"['롱코트', '체크', '아우터', '체크', '포멀', '클래식']",108,-9.5,-12.8,-5.2
"2018-02-04","//image.musinsa.com/mfile_s01/_street_images/39526/280.street_img_view15a4d980fb2647.jpg?",-0.031958467,-0.017661167,1,"['무스탕', '아우터', '검정색', '심플', '캐주얼']",108,-9.5,-12.8,-5.2
"2018-02-04","//image.musinsa.com/mfile_s01/_street_images/40201/280.street_img_view15a54ba1852706.jpg?",-0.02580639,-0.015974672,1,"['래더재킷', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-9.5,-12.8,-5.2
"2018-02-05","//image.musinsa.com/mfile_s01/_street_images/40876/280.street_img_view15a7849106f12c.jpg?20180205213457",0.045804812,-0.014680352,0,"['스커트', '본챔스', '하의', '데님', '스트리트', '힙합']",108,-9.4,-11.8,-5.1
"2018-02-05","//image.musinsa.com/mfile_s01/_street_images/43100/280.street_img_view15ac5f9a033937.jpg?",0.01882154,-0.017655563,4,"['데님재킷', '아우터', '데님', '섹시', '페미닌']",108,-9.4,-11.8,-5.1
"2018-02-05","//image.musinsa.com/mfile_s01/_street_images/44583/280.street_img_view15b224638d98a2.jpg?20180614194919",-0.015887051,0.009747066,2,"['반팔티', '네온', '상의', '노란색', '심플', '캐주얼']",108,-9.4,-11.8,-5.1
"2018-02-05","//image.musinsa.com/mfile_s01/_street_images/43612/5add5bf34b136img_view1100.jpg?",-0.021694541,0.009951052,2,"['티셔츠', '블랙', '상의', '검정색', '심플', '캐주얼']",108,-9.4,-11.8,-5.1
"2018-02-07","//image.musinsa.com/mfile_s01/_street_images/45531/280.street_img_view25b4d6d2260f01.jpg?",0.018065161,-0.033204799,4,"['오버롤', '데님', '하의', '데님', '심플', '캐주얼']",108,-8,-13.4,-1.6
"2018-02-07","//image.musinsa.com/mfile_s01/_street_images/40921/280.street_img_view15a8161c777393.jpg?",-0.031444593,-0.022387153,1,"['코듀로이', '자켓', '아우터', '갈색', '심플', '캐주얼']",108,-8,-13.4,-1.6
"2018-02-07","//image.musinsa.com/mfile_s01/_street_images/47943/280.street_img_view15bd1ac865fcc6.jpg?20181025214234",-0.02424143,0.005968445,2,"['스웻셔츠', '상의', '검정색', '심플', '캐주얼']",108,-8,-13.4,-1.6
"2018-02-07","//image.musinsa.com/mfile_s01/_street_images/40921/280.street_img_view25a8161dd1d7e2.jpg?",-0.005934971,-0.009394851,4,"['코듀로이', '팬츠', '하의', '흰색', '심플', '캐주얼']",108,-8,-13.4,-1.6
"2018-02-08","//image.musinsa.com/mfile_s01/_street_images/44193/280.street_img_view15b0623189309b.jpg?",-0.018845474,0.008833902,2,"['블라우스', 'blouse', '상의', '주황색', '심플', '캐주얼']",108,-4.4,-9.7,2
"2018-02-08","//image.musinsa.com/mfile_s01/_street_images/43479/280.street_img_view15ad70dfb49d95.jpg?",0.007554144,0.037684332,3,"['스웨트셔츠', '화이트', '상의', '흰색', '스트리트', '힙합']",108,-4.4,-9.7,2
