date,image,tags,temperature,cluster
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40439/280.street_img_view25a69943353daf.jpg?,"['후디', '블랙', '상의', '검정색', '스트리트', '힙합']",2.1,9
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view15a699d71a71be.jpg?,"['항공점퍼', '카키', '아우터', '녹색', '스트리트', '힙합']",2.1,9
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40439/280.street_img_view15a69941d0a076.jpg?,"['코트', '블랙', '아우터', '검정색', '스트리트', '힙합']",2.1,9
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view15a699f4201aaa.jpg?,"['코트', '레드', '아우터', '빨간색', '걸리시']",2.1,9
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40433/280.street_img_view15a6880f5119ea.jpg?,"['퍼자켓', '레오파드', '아우터', '애니멀', '유니크', '키치']",2.1,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40499/280.street_img_view15a6addca06de8.jpg?,"['롱슬리브', '티셔츠', '상의', '검정색', '스트리트', '힙합']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40472/280.street_img_view15a71921235f49.jpg?20180131185446,"['코트', '디자이너 인비테이션', '아우터', '파랑색', '걸리시']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40469/280.street_img_view15a619d011fcef.jpg?20180119192058,"['코트', '디자이너 인비테이션', '아우터', '파랑색', '심플', '캐주얼']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40473/280.street_img_view15a61c755cd4e0.jpg?20180119192428,"['코트', '디자이너 인비테이션', '그레이', '아우터', '회색', '걸리시']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40465/280.street_img_view15a61aabb040c9.jpg?20180122091857,"['코트', '디자이너 인비테이션', '아우터', '파랑색', '걸리시']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40474/280.street_img_view15a61990b8d1e5.jpg?20180119191903,"['코트', '디자이너 인비테이션', '아우터', '검정색', '심플', '캐주얼']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40475/280.street_img_view15a6197e2d81d5.jpg?20180122091500,"['코트', '디자이너 인비테이션', '더블코트', '아우터', '파랑색', '섹시', '페미닌']",1.0,9
2018-01-19,//image.musinsa.com/mfile_s01/_street_images/40477/280.street_img_view15a69eab167fc8.jpg?,"['코트', '블랙', '아우터', '검정색', '심플', '캐주얼']",1.0,9
2018-01-21,//image.musinsa.com/mfile_s01/_street_images/40519/280.street_img_view15a6ad94429632.jpg?20180126175801,"['무스탕', '아우터', '검정색', '심플', '캐주얼']",0.4,9
2018-01-21,//image.musinsa.com/mfile_s01/_street_images/40512/280.street_img_view15a6adb528a174.jpg?20180126172923,"['라이더자켓', '아우터', '검정색', '스트리트', '힙합']",0.4,9
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/40533/280.street_img_view15a6aceb2d6429.jpg?,"['싱글코트', '아우터', '검정색', '걸리시']",0.2,9
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/40547/280.street_img_view15a6ac9a35eb70.jpg?20180130143944,"['트랙자켓', '아우터', '빨간색', '스트리트', '힙합']",0.2,9
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/40541/280.street_img_view15a6acbffdb61e.jpg?20180126190009,"['더플코트', '아우터', '검정색', '심플', '캐주얼']",0.2,9
