"date","image","x1","x2","label","tags","지점","평균기온..C.","최저기온..C.","최고기온..C.","cluster"
"2018-01-16","//image.musinsa.com/mfile_s01/_street_images/40344/280.street_img_view15a66c9d39ab10.jpg?",0.164071007392678,0.17071435328814,0,"['레더재킷', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,3.5,0.1,6.8,3
"2018-01-16","//image.musinsa.com/mfile_s01/_street_images/40401/280.street_img_view25a681eaeccb24.jpg?",-0.69450850806244,0.04728074568028,1,"['오버롤팬츠', '하의', '녹색', '심플', '캐주얼']",108,3.5,0.1,6.8,3
"2018-01-16","//image.musinsa.com/mfile_s01/_street_images/40374/280.street_img_view25a681ad11e893.jpg?",0.201246041817034,0.150318551961924,0,"['더플코트', '베이지', '아우터', '베이지색', '심플', '캐주얼']",108,3.5,0.1,6.8,3
"2018-01-16","//image.musinsa.com/mfile_s01/_street_images/40343/280.street_img_view15a66c9f4b5822.jpg?",1.10924140761164,0.162210467081209,3,"['아우터', '퍼', '브라운', '아우터', '갈색', '심플', '캐주얼']",108,3.5,0.1,6.8,3
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/40385/280.street_img_view15a682168b8b22.jpg?",0.120840397733162,0.0167134774417132,0,"['항공점퍼', '블랙', '아우터', '검정색', '스트리트', '힙합']",108,4.5,2.4,8.7,3
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/40427/280.street_img_view15a687f80e95ce.jpg?",0.121867013173948,0.306480873838441,0,"['코트', '체크', '아우터', '체크', '심플', '캐주얼']",108,4.5,2.4,8.7,3
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/40414/280.street_img_view15a682f1727888.jpg?",-0.845578481591732,0.140321867279547,1,"['코트', '베이지', '아우터', '베이지색', '걸리시']",108,4.5,2.4,8.7,3
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/40386/280.street_img_view15a6821220a151.jpg?",-0.861795650827509,0.0024064123840805,1,"['퍼자켓', '아우터', '노란색', '스트리트', '힙합']",108,4.5,2.4,8.7,3
"2018-01-17","//image.musinsa.com/mfile_s01/_street_images/40386/280.street_img_view25a68212e094dd.jpg?",0.150385112251195,0.051391965001753,0,"['팬츠', '카모', '하의', '카모', '스트리트', '힙합']",108,4.5,2.4,8.7,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40457/280.street_img_view15a69a28dafcab.jpg?",0.169496027567123,-0.0552088264145675,0,"['트랙팬츠', '화이트', '하의', '흰색', '스트리트', '힙합']",108,2.1,0.3,4.5,3
