date,image,tags,temperature,cluster
2018-04-10,//image.musinsa.com/mfile_s01/_street_images/43247/280.street_img_view25acc48e040c52.jpg?,"['데님팬츠', '하의', '데님', '스트리트', '힙합']",15.1,8
2018-04-12,//image.musinsa.com/mfile_s01/_street_images/43373/280.street_img_view15ad0764c05e48.jpg?20180418175433,"['반바지', '어텐션로우', '하의', '데님', '섹시', '페미닌']",13.3,4
2018-04-17,//image.musinsa.com/mfile_s01/_street_images/43482/280.street_img_view25ad70b9cab99d.jpg?,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",12.9,4
2018-04-19,//image.musinsa.com/mfile_s01/_street_images/43544/280.street_img_view25ad82f3a1e62b.jpg?,"['스커트', '체크', '하의', '분홍색', '체크', '심플', '캐주얼']",14.0,4
2018-04-20,//image.musinsa.com/mfile_s01/_street_images/43568/280.street_img_view25af5742645d54.jpg?,"['체크', '팬츠', '하의', '체크', '스트리트', '힙합']",18.4,6
2018-04-25,//image.musinsa.com/mfile_s01/_street_images/43712/280.street_img_view25ae15595a998e.jpg?,"['슬랙스', '네이비', '하의', '파랑색', '심플', '캐주얼']",14.6,8
2018-04-27,//image.musinsa.com/mfile_s01/_street_images/43794/280.street_img_view25ae2f1a77fa33.jpg?,"['팬츠', '베이지', '하의', '베이지색', '스트리트', '힙합']",15.7,8
2018-05-01,//image.musinsa.com/mfile_s01/_street_images/43868/280.street_img_view25af570415b1af.jpg?,"['데님', '팬츠', 'denim', 'pants', '하의', '데님', '심플', '캐주얼']",20.4,6
2018-05-03,//image.musinsa.com/mfile_s01/_street_images/43946/280.street_img_view25aeaf31f4427a.jpg?,"['슬랙스', '블랙', '하의', '검정색', '심플', '캐주얼']",11.2,4
2018-05-03,//image.musinsa.com/mfile_s01/_street_images/43935/280.street_img_view25aeaf5abe0fba.jpg?,"['와이드팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",11.2,4
2018-05-08,//image.musinsa.com/mfile_s01/_street_images/44023/280.street_img_view25af14bd17a0c4.jpg?,"['팬츠', '블루', '하의', '파랑색', '유니크', '키치']",17.5,8
2018-05-10,//image.musinsa.com/mfile_s01/_street_images/44102/280.street_img_view25afc0997437ed.jpg?,"['와이드팬츠', '하의', '검정색', '스트리트', '힙합']",15.4,8
2018-05-11,//image.musinsa.com/mfile_s01/_street_images/44149/280.street_img_view25afc0640ca0a0.jpg?,"['데님', '쇼츠', '하의', '데님', '섹시', '페미닌']",16.1,8
2018-05-11,//image.musinsa.com/mfile_s01/_street_images/44148/280.street_img_view25af939e4c8bd3.jpg?,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",16.1,8
